id,name,alt,path
1,Assent-Form-Template,,Files/Other/provost/Assent-Form-Template.docx
2,Applying-for-and-Managing-Grants-at-RU---revised,,Files/Other/provost/grants-office/Applying-for-and-Managing-Grants-at-RU---revised.pptx
3,Parent-For-Child-Consent-Form-Template,,Files/Other/provost/Parent-For-Child-Consent-Form-Template.docx
4,ROOSEVELT-UNIVERSITY---Sample-Informed-Consent-Form,,Files/Other/provost/ROOSEVELT-UNIVERSITY---Sample-Informed-Consent-Form.docx
5,ROOSEVELT-UNIVERSITY-Parental-Consent-Sample,,Files/Other/provost/ROOSEVELT-UNIVERSITY-Parental-Consent-Sample.docx
6,Program-Evaluation,,Files/Other/provost/study-abroad/Program-Evaluation.docx
7,OL Application 2018,,Files/Other/student-life/OL Application 2018.doc
8,SLA Nomination,,Files/Other/student-life/SLA Nomination.docx
9,ATRU-CEO-Position-Profile-071719,,Files/pdfs/_internal/ATRU-CEO-Position-Profile-071719.pdf
10,Bi-Weekly-Pay-Period-Pay-Date-Calendar,,Files/pdfs/_internal/business-office/Bi-Weekly-Pay-Period-Pay-Date-Calendar.pdf
11,Insurance-Requirements,,Files/pdfs/_internal/business-office/Insurance-Requirements.pdf
12,petty-cash-voucher,,Files/pdfs/_internal/business-office/petty-cash-voucher.pdf
13,TimesheetBlank,,Files/pdfs/_internal/business-office/TimesheetBlank.pdf
14,UniversitySponsoredStudentTravel,,Files/pdfs/_internal/business-office/UniversitySponsoredStudentTravel.pdf
15,Affidavit-of-Support,,Files/pdfs/admission/Affidavit-of-Support.pdf
16,AcademicRenewal,,Files/pdfs/advising/AcademicRenewal.pdf
17,ReinstatementPetition,,Files/pdfs/advising/ReinstatementPetition.pdf
18,Accounting-Resume,,Files/pdfs/career/Accounting-Resume.pdf
19,Action-Verbs,,Files/pdfs/career/Action-Verbs.pdf
20,Biology-resume-example,,Files/pdfs/career/Biology-resume-example.pdf
21,Career-Fair-Prep-Guide,,Files/pdfs/career/Career-Fair-Prep-Guide.pdf
22,Computer-Science-Resume,,Files/pdfs/career/Computer-Science-Resume.pdf
23,Entry-Level-Internship,,Files/pdfs/career/Entry-Level-Internship.pdf
24,Entry-Level-Student,,Files/pdfs/career/Entry-Level-Student.pdf
25,Experienced-Grad-Student-Cover-Letter,,Files/pdfs/career/Experienced-Grad-Student-Cover-Letter.pdf
26,First-Year-Student-Example,,Files/pdfs/career/First-Year-Student-Example.pdf
27,Freshman-Cover-Letter,,Files/pdfs/career/Freshman-Cover-Letter.pdf
28,GPSRequirements,,Files/pdfs/career/GPSRequirements.pdf
29,Informational-Interview,,Files/pdfs/career/Informational-Interview.pdf
30,Internship-Cover-Letter,,Files/pdfs/career/Internship-Cover-Letter.pdf
31,MBA-Human-Resources,,Files/pdfs/career/MBA-Human-Resources.pdf
32,New-or-Recent-Grad-Cover-Letter,,Files/pdfs/career/New-or-Recent-Grad-Cover-Letter.pdf
33,Psychology-major,,Files/pdfs/career/Psychology-major.pdf
34,RUAccess-TimeSheets-instructions,,Files/pdfs/career/RUAccess-TimeSheets-instructions.pdf
35,Sample-Thank-You-Email-Letter,,Files/pdfs/career/Sample-Thank-You-Email-Letter.pdf
36,Student-Hiring--Student-Perspective,,Files/pdfs/career/Student-Hiring--Student-Perspective.pdf
37,StudentEmploymentHandbook,,Files/pdfs/career/StudentEmploymentHandbook.pdf
38,BMLA-application,,Files/pdfs/college-cas/drake/BMLA-application.pdf
39,BMLA-Emergency-Contact-Form,,Files/pdfs/college-cas/drake/BMLA-Emergency-Contact-Form.pdf
40,BMLA-Wavier-Form,,Files/pdfs/college-cas/drake/BMLA-Wavier-Form.pdf
41,MinkovGreatIdeasFall2009,,Files/pdfs/college-cas/montesquieu/MinkovGreatIdeasFall2009.pdf
