id,name,alt,path
1,500plus,more than 500,Images/1440x720-banners/500plus.png
2,AlGolinAffairWeb2019,al-golin-fellows,Images/1440x720-banners/AlGolinAffairWeb2019.jpg
3,AlGolinWeb3,Diverse Al Golin Fellows in the Wabash Building.,Images/1440x720-banners/AlGolinWeb3.jpg
4,AlGolinFellows-2160x1215_Header-2,,Images/1440x720-banners/AlGolinWeb3/AlGolinFellows-2160x1215_Header/AlGolinFellows-2160x1215_Header-2.jpg
5,AlGolinFellows-2160x1215_Header-2,Diverse Al Golin Fellows in the Wabash Building,Images/1440x720-banners/AlGolinWeb3/AlGolinFellows-2160x1215_Header/AlGolinFellows-2160x1215_Header-2/AlGolinFellows-2160x1215_Header-2.jpg
6,AlGolinFellows-2160x1215_Header-2,Diverse Al Golin Fellows in the Wabash Building,Images/1440x720-banners/AlGolinWeb3/AlGolinFellows-2160x1215_Header/AlGolinFellows-2160x1215_Header-2/AlGolinFellows-2160x1215_Header-2/AlGolinFellows-2160x1215_Header-2.jpg
7,Auditorium-and-Wabash-buildings-from-the-south,Auditorium and Wabash buildings from the south,Images/1440x720-banners/Auditorium-and-Wabash-buildings-from-the-south.jpg
8,Banner-of-student-sitting-in-front-of-windows,Banner of student sitting in front of windows,Images/1440x720-banners/Banner-of-student-sitting-in-front-of-windows.jpg
9,business-faculty,Heller College of Business faculty,Images/1440x720-banners/business-faculty.jpg
10,Chicago-cityscape-at-night,Chicago cityscape at night,Images/1440x720-banners/Chicago-cityscape-at-night.jpg
11,Cityscape-aerial-angle,Cityscape aerial angle,Images/1440x720-banners/Cityscape-aerial-angle.jpg
12,Group-of-students,Group of students,Images/1440x720-banners/Group-of-students.jpg
13,Jazz-band-performing-on-stage,Jazz band performing on stage,Images/1440x720-banners/Jazz-band-performing-on-stage.jpg
14,Pharmacy-students-in-lab-coats,Pharmacy students in lab coats,Images/1440x720-banners/Pharmacy-students-in-lab-coats.jpg
15,piano,Piano on stage,Images/1440x720-banners/piano.jpg
16,prc-apartments,apartment building,Images/1440x720-banners/prc-apartments.jpg
17,prc-library,chicago city library building,Images/1440x720-banners/prc-library.jpg
18,prc-willis-tower,willis tower,Images/1440x720-banners/prc-willis-tower.jpg
19,Smiling-student-looking-up,Smiling student looking up,Images/1440x720-banners/Smiling-student-looking-up.jpg
20,String camp,summer string camp,Images/1440x720-banners/String camp.jpg
21,Student-by-blooming-flowers,Student by blooming flowers,Images/1440x720-banners/Student-by-blooming-flowers.jpg
22,Student-in-blue-dress-standing-library-stacks,Student standing library stacks,Images/1440x720-banners/Student-in-blue-dress-standing-library-stacks.jpg
23,Student-in-front-of-Wabash-Building-windows-overlooking-Lake-Michigan,Student in front of Wabash Building windows overlooking Lake Michigan,Images/1440x720-banners/Student-in-front-of-Wabash-Building-windows-overlooking-Lake-Michigan.jpg
24,Student-in-front-of-Wabash-windows-overlooking-lake,Student in front of Wabash windows overlooking lake,Images/1440x720-banners/Student-in-front-of-Wabash-windows-overlooking-lake.jpg
25,Student-in-green-Roosevel-t-shirt,Student in green Roosevelt shirt,Images/1440x720-banners/Student-in-green-Roosevel-t-shirt.jpg
26,Student-in-white-shirt-on-street,Student on street,Images/1440x720-banners/Student-in-white-shirt-on-street.jpg
27,Student-with-backpack-in-front-of-bookshelves,Student in front of bookshelves,Images/1440x720-banners/Student-with-backpack-in-front-of-bookshelves.jpg
28,Students-and-faculty-in-science-lab,Students and faculty in science lab,Images/1440x720-banners/Students-and-faculty-in-science-lab.jpg
29,Students-at-computers,Students at computers,Images/1440x720-banners/Students-at-computers.jpg
30,Students-in-Africa,Students in Africa,Images/1440x720-banners/Students-in-Africa.jpg
31,Students-in-auditorium-clapping,Students in auditorium clapping,Images/1440x720-banners/Students-in-auditorium-clapping.jpg
32,Students-in-RU-t-shirts-smiling,Admission Apply Page Header,Images/1440x720-banners/Students-in-RU-t-shirts-smiling.jpg
33,Two-students-in-green-RU-t-shirts-simling,Two students in green RU t shirts simling,Images/1440x720-banners/Two-students-in-green-RU-t-shirts-simling.jpg
34,Undergrad-student-raising-hand-for-a-question,Undergrad student raising hand for a question,Images/1440x720-banners/Undergrad-student-raising-hand-for-a-question.jpg
35,Young-Artists,Performing arts students at an event,Images/1440x720-banners/Young-Artists.jpg
